Sucursal,Nuevo_Sistema,Cajero,ID_Transaccion,Transaccion,Tiempo_Servicio_seg,Satisfaccion,Monto
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),41,Muy Bueno,2889.3
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),41,Malo,1670.69
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),41,Regular,3172.49
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),41,Regular,1764.92
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),41,Muy Bueno,1835.69
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Bueno,2165.42
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Regular,1304.9
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Bueno,4080.05
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2541.27
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2218.77
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2450.08
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Bueno,1298.62
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Malo,2728.84
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2491.94
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2112.31
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2950.88
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2605.65
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),42,Muy Bueno,2701.64
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Malo,2061.16
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Malo,1312.6
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Bueno,846.92
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2703.87
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,1457.26
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Bueno,2096.41
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Bueno,2138.34
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,1248.16
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Malo,1624.47
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Malo,2139.19
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,913.09
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2201.17
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Regular,1833.67
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2099.39
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Malo,2579.76
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Regular,749.58
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2403.07
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2570.01
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Malo,850.15
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,1611.47
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Regular,2474.13
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),43,Muy Bueno,2277.76
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,2341.62
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,1882.82
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,1128.17
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Regular,2343.85
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,2249.25
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,986.18
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Regular,2162.76
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Bueno,2065.38
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Regular,2699.08
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,2245.32
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,1984.01
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Malo,2921.39
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Malo,537.94
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,3803.1
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Regular,2670.84
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Muy Malo,2006.62
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,1131.3
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Bueno,2109.83
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),44,Regular,184.83
Paseo Shopping Portoviejo,No,4820,2,Cobro/Pago (Cta externa),45,Malo,2642.34
